profile_name,reach_right,reach_left,allocator,seed,total_time,repositions,unreachable,deliveries,strong_side_fraction,mean_handoff_excess,total_robot_distance,h_idle,r_idle,c_act,f_del
symmetric,0.5,0.5,baseline,42,16.85,1,1,5,0.2,0.0118,23.1684,0.716,0.0059,0.2781,0.0
symmetric,0.5,0.5,baseline,137,16.85,1,1,5,0.2,0.0118,23.1684,0.716,0.0059,0.2781,0.0
symmetric,0.5,0.5,baseline,271,16.85,1,1,5,0.2,0.0118,23.1684,0.716,0.0059,0.2781,0.0
symmetric,0.5,0.5,baseline,314,16.85,1,1,5,0.2,0.0118,23.1684,0.716,0.0059,0.2781,0.0
symmetric,0.5,0.5,baseline,628,16.85,1,1,5,0.2,0.0118,23.1684,0.716,0.0059,0.2781,0.0
symmetric,0.5,0.5,baseline,1024,16.85,1,1,5,0.2,0.0118,23.1684,0.716,0.0059,0.2781,0.0
symmetric,0.5,0.5,baseline,1729,16.85,1,1,5,0.2,0.0118,23.1684,0.716,0.0059,0.2781,0.0
symmetric,0.5,0.5,baseline,2718,16.85,1,1,5,0.2,0.0118,23.1684,0.716,0.0059,0.2781,0.0
symmetric,0.5,0.5,baseline,3141,16.85,1,1,5,0.2,0.0118,23.1684,0.716,0.0059,0.2781,0.0
symmetric,0.5,0.5,baseline,6283,16.85,1,1,5,0.2,0.0118,23.1684,0.716,0.0059,0.2781,0.0
symmetric,0.5,0.5,adaptive,42,15.85,0,0,4,0.5,0.0,23.8986,0.9837,0.0,0.0163,0.0
symmetric,0.5,0.5,adaptive,137,15.85,0,0,4,0.5,0.0,23.8986,0.9837,0.0,0.0163,0.0
symmetric,0.5,0.5,adaptive,271,15.85,0,0,4,0.5,0.0,23.8986,0.9837,0.0,0.0163,0.0
symmetric,0.5,0.5,adaptive,314,15.85,0,0,4,0.5,0.0,23.8986,0.9837,0.0,0.0163,0.0
symmetric,0.5,0.5,adaptive,628,15.85,0,0,4,0.5,0.0,23.8986,0.9837,0.0,0.0163,0.0
symmetric,0.5,0.5,adaptive,1024,15.85,0,0,4,0.5,0.0,23.8986,0.9837,0.0,0.0163,0.0
symmetric,0.5,0.5,adaptive,1729,15.85,0,0,4,0.5,0.0,23.8986,0.9837,0.0,0.0163,0.0
symmetric,0.5,0.5,adaptive,2718,15.85,0,0,4,0.5,0.0,23.8986,0.9837,0.0,0.0163,0.0
symmetric,0.5,0.5,adaptive,3141,15.85,0,0,4,0.5,0.0,23.8986,0.9837,0.0,0.0163,0.0
symmetric,0.5,0.5,adaptive,6283,15.85,0,0,4,0.5,0.0,23.8986,0.9837,0.0,0.0163,0.0
symmetric,0.5,0.5,stigmergic,42,35.45,0,0,5,1.0,0.0,63.0266,0.8761,0.0,0.1239,0.0
symmetric,0.5,0.5,stigmergic,137,22.85,0,0,5,1.0,0.0,40.2804,0.8079,0.0,0.1921,0.0
symmetric,0.5,0.5,stigmergic,271,22.55,0,0,5,1.0,0.0,39.84,0.8097,0.0,0.1903,0.0
symmetric,0.5,0.5,stigmergic,314,20.7,0,0,5,1.0,0.0,36.6407,0.7923,0.0,0.2077,0.0
symmetric,0.5,0.5,stigmergic,628,19.65,0,0,5,1.0,0.0,34.8677,0.7919,0.0,0.2081,0.0
symmetric,0.5,0.5,stigmergic,1024,25.3,0,0,5,1.0,0.0,44.6803,0.83,0.0,0.17,0.0
symmetric,0.5,0.5,stigmergic,1729,19.75,0,0,5,1.0,0.0,34.9021,0.8232,0.0,0.1768,0.0
symmetric,0.5,0.5,stigmergic,2718,18.85,0,0,5,1.0,0.0,33.2491,0.6931,0.0,0.3069,0.0
symmetric,0.5,0.5,stigmergic,3141,27.15,0,0,5,1.0,0.0,48.4918,0.7904,0.0,0.2096,0.0
symmetric,0.5,0.5,stigmergic,6283,23.0,0,0,5,1.0,0.0,40.8354,0.813,0.0,0.187,0.0
mild_asymmetric,0.6,0.4,baseline,42,16.85,1,1,5,0.8,0.0417,23.1684,0.716,0.0059,0.2781,0.0
mild_asymmetric,0.6,0.4,baseline,137,16.85,1,1,5,0.8,0.0417,23.1684,0.716,0.0059,0.2781,0.0
mild_asymmetric,0.6,0.4,baseline,271,16.85,1,1,5,0.8,0.0417,23.1684,0.716,0.0059,0.2781,0.0
mild_asymmetric,0.6,0.4,baseline,314,16.85,1,1,5,0.8,0.0417,23.1684,0.716,0.0059,0.2781,0.0
mild_asymmetric,0.6,0.4,baseline,628,16.85,1,1,5,0.8,0.0417,23.1684,0.716,0.0059,0.2781,0.0
mild_asymmetric,0.6,0.4,baseline,1024,16.85,1,1,5,0.8,0.0417,23.1684,0.716,0.0059,0.2781,0.0
mild_asymmetric,0.6,0.4,baseline,1729,16.85,1,1,5,0.8,0.0417,23.1684,0.716,0.0059,0.2781,0.0
mild_asymmetric,0.6,0.4,baseline,2718,16.85,1,1,5,0.8,0.0417,23.1684,0.716,0.0059,0.2781,0.0
mild_asymmetric,0.6,0.4,baseline,3141,16.85,1,1,5,0.8,0.0417,23.1684,0.716,0.0059,0.2781,0.0
mild_asymmetric,0.6,0.4,baseline,6283,16.85,1,1,5,0.8,0.0417,23.1684,0.716,0.0059,0.2781,0.0
mild_asymmetric,0.6,0.4,adaptive,42,18.0,0,0,5,0.6,0.0,23.8308,0.7278,0.0,0.2722,0.0
mild_asymmetric,0.6,0.4,adaptive,137,18.0,0,0,5,0.6,0.0,23.8308,0.7278,0.0,0.2722,0.0
mild_asymmetric,0.6,0.4,adaptive,271,18.0,0,0,5,0.6,0.0,23.8308,0.7278,0.0,0.2722,0.0
mild_asymmetric,0.6,0.4,adaptive,314,18.0,0,0,5,0.6,0.0,23.8308,0.7278,0.0,0.2722,0.0
mild_asymmetric,0.6,0.4,adaptive,628,18.0,0,0,5,0.6,0.0,23.8308,0.7278,0.0,0.2722,0.0
mild_asymmetric,0.6,0.4,adaptive,1024,18.0,0,0,5,0.6,0.0,23.8308,0.7278,0.0,0.2722,0.0
mild_asymmetric,0.6,0.4,adaptive,1729,18.0,0,0,5,0.6,0.0,23.8308,0.7278,0.0,0.2722,0.0
mild_asymmetric,0.6,0.4,adaptive,2718,18.0,0,0,5,0.6,0.0,23.8308,0.7278,0.0,0.2722,0.0
mild_asymmetric,0.6,0.4,adaptive,3141,18.0,0,0,5,0.6,0.0,23.8308,0.7278,0.0,0.2722,0.0
mild_asymmetric,0.6,0.4,adaptive,6283,18.0,0,0,5,0.6,0.0,23.8308,0.7278,0.0,0.2722,0.0
mild_asymmetric,0.6,0.4,stigmergic,42,35.55,0,0,5,1.0,0.0,63.2258,0.882,0.0,0.118,0.0
mild_asymmetric,0.6,0.4,stigmergic,137,22.9,0,0,5,1.0,0.0,40.4014,0.821,0.0,0.179,0.0
mild_asymmetric,0.6,0.4,stigmergic,271,22.45,0,0,5,1.0,0.0,39.7891,0.8178,0.0,0.1822,0.0
mild_asymmetric,0.6,0.4,stigmergic,314,20.8,0,0,5,1.0,0.0,36.8022,0.8029,0.0,0.1971,0.0
mild_asymmetric,0.6,0.4,stigmergic,628,19.95,0,0,5,1.0,0.0,35.3714,0.79,0.0,0.21,0.0
mild_asymmetric,0.6,0.4,stigmergic,1024,25.2,0,0,5,1.0,0.0,44.6532,0.8373,0.0,0.1627,0.0
mild_asymmetric,0.6,0.4,stigmergic,1729,19.95,0,0,5,1.0,0.0,35.3362,0.825,0.0,0.175,0.0
mild_asymmetric,0.6,0.4,stigmergic,2718,18.85,0,0,5,1.0,0.0,33.2535,0.7037,0.0,0.2963,0.0
mild_asymmetric,0.6,0.4,stigmergic,3141,27.15,0,0,5,1.0,0.0,48.4598,0.7978,0.0,0.2022,0.0
mild_asymmetric,0.6,0.4,stigmergic,6283,23.25,0,0,5,1.0,0.0,41.3028,0.8197,0.0,0.1803,0.0
moderate,0.7,0.3,baseline,42,16.85,1,1,5,0.8,0.0617,23.1684,0.716,0.0059,0.2781,0.0
moderate,0.7,0.3,baseline,137,16.85,1,1,5,0.8,0.0617,23.1684,0.716,0.0059,0.2781,0.0
moderate,0.7,0.3,baseline,271,16.85,1,1,5,0.8,0.0617,23.1684,0.716,0.0059,0.2781,0.0
moderate,0.7,0.3,baseline,314,16.85,1,1,5,0.8,0.0617,23.1684,0.716,0.0059,0.2781,0.0
moderate,0.7,0.3,baseline,628,16.85,1,1,5,0.8,0.0617,23.1684,0.716,0.0059,0.2781,0.0
moderate,0.7,0.3,baseline,1024,16.85,1,1,5,0.8,0.0617,23.1684,0.716,0.0059,0.2781,0.0
moderate,0.7,0.3,baseline,1729,16.85,1,1,5,0.8,0.0617,23.1684,0.716,0.0059,0.2781,0.0
moderate,0.7,0.3,baseline,2718,16.85,1,1,5,0.8,0.0617,23.1684,0.716,0.0059,0.2781,0.0
moderate,0.7,0.3,baseline,3141,16.85,1,1,5,0.8,0.0617,23.1684,0.716,0.0059,0.2781,0.0
moderate,0.7,0.3,baseline,6283,16.85,1,1,5,0.8,0.0617,23.1684,0.716,0.0059,0.2781,0.0
moderate,0.7,0.3,adaptive,42,18.0,0,0,5,0.6,0.0,23.9438,0.7222,0.0,0.2778,0.0
moderate,0.7,0.3,adaptive,137,18.0,0,0,5,0.6,0.0,23.9438,0.7222,0.0,0.2778,0.0
moderate,0.7,0.3,adaptive,271,18.0,0,0,5,0.6,0.0,23.9438,0.7222,0.0,0.2778,0.0
moderate,0.7,0.3,adaptive,314,18.0,0,0,5,0.6,0.0,23.9438,0.7222,0.0,0.2778,0.0
moderate,0.7,0.3,adaptive,628,18.0,0,0,5,0.6,0.0,23.9438,0.7222,0.0,0.2778,0.0
moderate,0.7,0.3,adaptive,1024,18.0,0,0,5,0.6,0.0,23.9438,0.7222,0.0,0.2778,0.0
moderate,0.7,0.3,adaptive,1729,18.0,0,0,5,0.6,0.0,23.9438,0.7222,0.0,0.2778,0.0
moderate,0.7,0.3,adaptive,2718,18.0,0,0,5,0.6,0.0,23.9438,0.7222,0.0,0.2778,0.0
moderate,0.7,0.3,adaptive,3141,18.0,0,0,5,0.6,0.0,23.9438,0.7222,0.0,0.2778,0.0
moderate,0.7,0.3,adaptive,6283,18.0,0,0,5,0.6,0.0,23.9438,0.7222,0.0,0.2778,0.0
moderate,0.7,0.3,stigmergic,42,35.85,0,0,5,1.0,0.0,63.7881,0.8858,0.0,0.1142,0.0
moderate,0.7,0.3,stigmergic,137,22.85,0,0,5,1.0,0.0,40.3916,0.821,0.0,0.179,0.0
moderate,0.7,0.3,stigmergic,271,22.4,0,0,5,1.0,0.0,39.7927,0.8259,0.0,0.1741,0.0
moderate,0.7,0.3,stigmergic,314,20.95,0,0,5,1.0,0.0,37.0495,0.8,0.0,0.2,0.0
moderate,0.7,0.3,stigmergic,628,20.25,0,0,5,1.0,0.0,35.8398,0.798,0.0,0.202,0.0
moderate,0.7,0.3,stigmergic,1024,25.25,0,0,5,1.0,0.0,44.7304,0.8379,0.0,0.1621,0.0
moderate,0.7,0.3,stigmergic,1729,20.25,0,0,5,1.0,0.0,35.9368,0.8177,0.0,0.1823,0.0
moderate,0.7,0.3,stigmergic,2718,18.9,0,0,5,1.0,0.0,33.3253,0.709,0.0,0.291,0.0
moderate,0.7,0.3,stigmergic,3141,27.35,0,0,5,1.0,0.0,48.8111,0.7993,0.0,0.2007,0.0
moderate,0.7,0.3,stigmergic,6283,23.45,0,0,5,1.0,0.0,41.7024,0.8255,0.0,0.1745,0.0
baseline_test,0.8,0.25,baseline,42,16.85,1,1,5,0.8,0.0717,23.1684,0.716,0.0059,0.2781,0.0
baseline_test,0.8,0.25,baseline,137,16.85,1,1,5,0.8,0.0717,23.1684,0.716,0.0059,0.2781,0.0
baseline_test,0.8,0.25,baseline,271,16.85,1,1,5,0.8,0.0717,23.1684,0.716,0.0059,0.2781,0.0
baseline_test,0.8,0.25,baseline,314,16.85,1,1,5,0.8,0.0717,23.1684,0.716,0.0059,0.2781,0.0
baseline_test,0.8,0.25,baseline,628,16.85,1,1,5,0.8,0.0717,23.1684,0.716,0.0059,0.2781,0.0
baseline_test,0.8,0.25,baseline,1024,16.85,1,1,5,0.8,0.0717,23.1684,0.716,0.0059,0.2781,0.0
baseline_test,0.8,0.25,baseline,1729,16.85,1,1,5,0.8,0.0717,23.1684,0.716,0.0059,0.2781,0.0
baseline_test,0.8,0.25,baseline,2718,16.85,1,1,5,0.8,0.0717,23.1684,0.716,0.0059,0.2781,0.0
baseline_test,0.8,0.25,baseline,3141,16.85,1,1,5,0.8,0.0717,23.1684,0.716,0.0059,0.2781,0.0
baseline_test,0.8,0.25,baseline,6283,16.85,1,1,5,0.8,0.0717,23.1684,0.716,0.0059,0.2781,0.0
baseline_test,0.8,0.25,adaptive,42,18.05,0,0,5,0.6,0.0,24.0301,0.7182,0.0055,0.2762,0.0
baseline_test,0.8,0.25,adaptive,137,18.05,0,0,5,0.6,0.0,24.0301,0.7182,0.0055,0.2762,0.0
baseline_test,0.8,0.25,adaptive,271,18.05,0,0,5,0.6,0.0,24.0301,0.7182,0.0055,0.2762,0.0
baseline_test,0.8,0.25,adaptive,314,18.05,0,0,5,0.6,0.0,24.0301,0.7182,0.0055,0.2762,0.0
baseline_test,0.8,0.25,adaptive,628,18.05,0,0,5,0.6,0.0,24.0301,0.7182,0.0055,0.2762,0.0
baseline_test,0.8,0.25,adaptive,1024,18.05,0,0,5,0.6,0.0,24.0301,0.7182,0.0055,0.2762,0.0
baseline_test,0.8,0.25,adaptive,1729,18.05,0,0,5,0.6,0.0,24.0301,0.7182,0.0055,0.2762,0.0
baseline_test,0.8,0.25,adaptive,2718,18.05,0,0,5,0.6,0.0,24.0301,0.7182,0.0055,0.2762,0.0
baseline_test,0.8,0.25,adaptive,3141,18.05,0,0,5,0.6,0.0,24.0301,0.7182,0.0055,0.2762,0.0
baseline_test,0.8,0.25,adaptive,6283,18.05,0,0,5,0.6,0.0,24.0301,0.7182,0.0055,0.2762,0.0
baseline_test,0.8,0.25,stigmergic,42,36.1,0,0,5,1.0,0.0,64.1998,0.8947,0.0,0.1053,0.0
baseline_test,0.8,0.25,stigmergic,137,22.85,0,0,5,1.0,0.0,40.4302,0.8297,0.0,0.1703,0.0
